t [s] | x [m]],0,0.000875,0.00175,0.002625,0.0035,0.004375,0.00525,0.006125,0.007,0.007875,0.00875,0.009625,0.0105,0.011375,0.01225,0.013125,0.014,0.014875,0.01575,0.016625,0.0175,0.018375,0.01925,0.020125,0.021,0.021875,0.02275,0.023625,0.0245,0.025375,0.02625,0.027125,0.028,0.028875,0.02975,0.030625,0.0315,0.032375,0.03325,0.034125
0,40.8972,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969
1,40.9011,40.9006,40.9002,40.8998,40.8995,40.8991,40.8989,40.8986,40.8983,40.8981,40.8979,40.8978,40.8976,40.8975,40.8974,40.8973,40.8972,40.8971,40.8971,40.897,40.897,40.897,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969
2,40.9032,40.9027,40.9022,40.9017,40.9013,40.9009,40.9005,40.9002,40.8999,40.8995,40.8993,40.899,40.8988,40.8985,40.8983,40.8981,40.898,40.8978,40.8977,40.8976,40.8975,40.8974,40.8973,40.8972,40.8972,40.8971,40.8971,40.897,40.897,40.897,40.897,40.897,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969,40.8969
3.01,40.9049,40.9044,40.9038,40.9033,40.9029,40.9024,40.902,40.9016,40.9012,40.9008,40.9005,40.9002,40.8999,40.8996,40.8993,40.8991,40.8989,40.8987,40.8985,40.8983,40.8981,40.898,40.8979,40.8977,40.8976,40.8975,40.8974,40.8974,40.8973,40.8972,40.8972,40.8971,40.8971,40.8971,40.897,40.897,40.897,40.8969,40.8969,40.8969
4.01,40.9064,40.9058,40.9052,40.9047,40.9042,40.9037,40.9032,40.9028,40.9024,40.902,40.9016,40.9012,40.9009,40.9006,40.9003,40.9,40.8997,40.8995,40.8992,40.899,40.8988,40.8986,40.8985,40.8983,40.8981,40.898,40.8979,40.8978,40.8977,40.8976,40.8975,40.8974,40.8973,40.8973,40.8972,40.8971,40.8971,40.897,40.897,40.8969
5.01,40.9077,40.9071,40.9065,40.9059,40.9054,40.9049,40.9044,40.9039,40.9035,40.903,40.9026,40.9022,40.9019,40.9015,40.9012,40.9009,40.9006,40.9003,40.9,40.8998,40.8995,40.8993,40.8991,40.8989,40.8987,40.8985,40.8984,40.8982,40.8981,40.8979,40.8978,40.8977,40.8976,40.8975,40.8974,40.8973,40.8972,40.8971,40.897,40.8969
6.01,40.9089,40.9082,40.9076,40.9071,40.9065,40.906,40.9055,40.905,40.9045,40.904,40.9036,40.9032,40.9028,40.9024,40.902,40.9017,40.9014,40.9011,40.9008,40.9005,40.9002,40.8999,40.8997,40.8995,40.8992,40.899,40.8988,40.8987,40.8985,40.8983,40.8982,40.898,40.8979,40.8977,40.8976,40.8975,40.8973,40.8972,40.8971,40.897
7.01,40.9099,40.9093,40.9087,40.9081,40.9075,40.907,40.9065,40.9059,40.9055,40.905,40.9045,40.9041,40.9037,40.9033,40.9029,40.9025,40.9021,40.9018,40.9015,40.9012,40.9009,40.9006,40.9003,40.9,40.8998,40.8995,40.8993,40.8991,40.8989,40.8987,40.8985,40.8983,40.8981,40.898,40.8978,40.8976,40.8975,40.8973,40.8971,40.897
8.01,40.911,40.9103,40.9097,40.9091,40.9085,40.9079,40.9074,40.9069,40.9063,40.9059,40.9054,40.9049,40.9045,40.904,40.9036,40.9032,40.9029,40.9025,40.9021,40.9018,40.9015,40.9012,40.9009,40.9006,40.9003,40.9,40.8998,40.8995,40.8993,40.8991,40.8988,40.8986,40.8984,40.8982,40.898,40.8978,40.8976,40.8974,40.8972,40.897
