t [s] | x [m]],0,0.000875,0.00175,0.002625,0.0035,0.004375,0.00525,0.006125,0.007,0.007875,0.00875,0.009625,0.0105,0.011375,0.01225,0.013125,0.014,0.014875,0.01575,0.016625,0.0175,0.018375,0.01925,0.020125,0.021,0.021875,0.02275,0.023625,0.0245,0.025375,0.02625,0.027125,0.028,0.028875,0.02975,0.030625,0.0315,0.032375,0.03325,0.034125
0,0.489031,0.168758,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-6.57018e-12
1,0.488985,0.248122,0.230451,0.213276,0.196611,0.18047,0.164872,0.14984,0.135398,0.121574,0.108397,0.0959016,0.0841207,0.0730897,0.0628429,0.0534125,0.0448258,0.0371032,0.0302543,0.0242759,0.0191484,0.014835,0.0112812,0.00841696,0.0061606,0.00442375,0.00311728,0.00215652,0.00146529,0.000978346,0.000642166,0.000414521,0.000263221,0.000164471,0.000101161,6.13054e-05,3.67108e-05,2.19229e-05,1.34289e-05,9.08955e-06,7.76274e-06
2,0.488959,0.287191,0.271434,0.256041,0.241016,0.226366,0.212097,0.198218,0.184738,0.171669,0.15902,0.146806,0.13504,0.123734,0.112904,0.102564,0.0927277,0.0834088,0.07462,0.0663724,0.058675,0.0515341,0.0449529,0.0389307,0.0334623,0.0285378,0.0241422,0.0202554,0.0168525,0.0139042,0.0113778,0.00923806,0.00744836,0.00597218,0.00477419,0.00382155,0.00308488,0.00253922,0.00216473,0.00194726,0.00188165
3.01,0.488939,0.309757,0.295285,0.281104,0.267215,0.253622,0.24033,0.227344,0.214669,0.202313,0.190281,0.178581,0.167221,0.156209,0.145554,0.135264,0.125348,0.115815,0.106674,0.0979332,0.0895999,0.081682,0.0741858,0.0671171,0.0604802,0.0542783,0.048513,0.0431844,0.0382909,0.0338293,0.0297949,0.0261815,0.0229818,0.0201879,0.0177915,0.015785,0.0141614,0.012916,0.0120465,0.0115545,0.0114907
4.01,0.488921,0.325083,0.311562,0.298283,0.285249,0.272461,0.259925,0.247643,0.23562,0.223861,0.212371,0.201157,0.190223,0.179576,0.169223,0.159172,0.149428,0.139999,0.130893,0.122118,0.113681,0.105591,0.0978543,0.0904797,0.0834747,0.076847,0.0706041,0.0647535,0.0593024,0.0542581,0.0496277,0.0454185,0.0416379,0.0382936,0.035394,0.0329483,0.0309672,0.0294626,0.0284489,0.0279431,0.0281171
5.01,0.488906,0.336598,0.323836,0.311283,0.29894,0.286812,0.274901,0.263211,0.251747,0.240513,0.229513,0.218754,0.20824,0.197979,0.187975,0.178236,0.16877,0.159582,0.150681,0.142075,0.133772,0.125782,0.118112,0.110773,0.103773,0.0971244,0.0908363,0.0849201,0.0793872,0.0742496,0.0695199,0.0652113,0.0613379,0.0579147,0.0549574,0.0524834,0.0505112,0.0490611,0.0481553,0.0478182,0.0483673
6.01,0.488892,0.345753,0.333629,0.32169,0.309939,0.298381,0.287017,0.275853,0.264893,0.254142,0.243605,0.233287,0.223193,0.213331,0.203707,0.194327,0.1852,0.176332,0.167731,0.159407,0.151367,0.143623,0.136182,0.129056,0.122256,0.115793,0.109679,0.103927,0.0985503,0.0935627,0.0889794,0.0848162,0.0810897,0.0778178,0.0750194,0.0727145,0.0709248,0.0696732,0.0689844,0.0688847,0.0698302
7.01,0.488879,0.35336,0.341795,0.3304,0.319179,0.308135,0.297272,0.286594,0.276107,0.265815,0.255725,0.24584,0.236169,0.226716,0.217489,0.208496,0.199742,0.191237,0.182989,0.175007,0.1673,0.159877,0.152749,0.145927,0.139423,0.133248,0.127414,0.121936,0.116828,0.112104,0.107779,0.103871,0.100397,0.0973758,0.0948262,0.092769,0.0912262,0.0902206,0.0897766,0.0899196,0.0912233
8.01,0.488867,0.359917,0.348862,0.337965,0.327232,0.316666,0.306272,0.296055,0.28602,0.276171,0.266516,0.257058,0.247806,0.238765,0.229943,0.221346,0.212983,0.204861,0.196989,0.189376,0.182032,0.174966,0.168189,0.161712,0.155546,0.149703,0.144196,0.139039,0.134245,0.12983,0.125809,0.122197,0.119014,0.116276,0.114002,0.112212,0.110928,0.110169,0.10996,0.110324,0.111927
9.01,0.488855,0.365748,0.355164,0.344733,0.334459,0.324346,0.314398,0.304621,0.295019,0.285599,0.276367,0.267327,0.258487,0.249853,0.241433,0.233233,0.225262,0.217527,0.210037,0.202802,0.19583,0.189131,0.182717,0.176596,0.170781,0.165284,0.160118,0.155294,0.150827,0.146732,0.143023,0.139715,0.136826,0.134372,0.132371,0.130841,0.129802,0.129273,0.129274,0.129827,0.131671
10.01,0.488844,0.371056,0.360918,0.350928,0.341089,0.331406,0.321885,0.312529,0.303346,0.294339,0.285516,0.276881,0.268443,0.260206,0.252179,0.244369,0.236784,0.22943,0.222318,0.215456,0.208853,0.202518,0.196462,0.190695,0.185229,0.180074,0.175243,0.170748,0.166603,0.16282,0.159415,0.156401,0.153794,0.15161,0.149865,0.148576,0.14776,0.147434,0.147617,0.148327,0.150357
11.01,0.488834,0.375976,0.366261,0.35669,0.347266,0.337995,0.328882,0.319931,0.311149,0.30254,0.294111,0.285868,0.277817,0.269966,0.26232,0.254887,0.247676,0.240693,0.233947,0.227446,0.2212,0.215219,0.20951,0.204086,0.198956,0.194131,0.189623,0.185443,0.181604,0.178119,0.175001,0.172263,0.169919,0.167984,0.166473,0.165401,0.164782,0.164634,0.16497,0.165808,0.167978
12.01,0.488825,0.380592,0.371281,0.362109,0.353083,0.344206,0.335483,0.326921,0.318523,0.310297,0.302247,0.29438,0.286703,0.279221,0.271942,0.264872,0.25802,0.251393,0.244998,0.238845,0.232942,0.227298,0.221922,0.216824,0.212014,0.207502,0.203299,0.199417,0.195866,0.192659,0.189807,0.187324,0.185222,0.183514,0.182213,0.181334,0.180888,0.180891,0.181356,0.182295,0.184567
13.01,0.488815,0.38496,0.376034,0.367246,0.358599,0.3501,0.341752,0.333561,0.325533,0.317673,0.309986,0.30248,0.29516,0.288032,0.281104,0.274382,0.267873,0.261586,0.255527,0.249704,0.244127,0.238804,0.233742,0.228953,0.224445,0.220228,0.216311,0.212707,0.209424,0.206474,0.203869,0.201619,0.199736,0.198232,0.19712,0.19641,0.196114,0.196246,0.196815,0.197834,0.200175
14.01,0.488807,0.389117,0.38056,0.372138,0.363856,0.355718,0.347729,0.339894,0.332219,0.32471,0.317371,0.310209,0.303231,0.296441,0.289848,0.283457,0.277276,0.271311,0.265571,0.260063,0.254794,0.249773,0.245009,0.24051,0.236286,0.232344,0.228695,0.225348,0.222313,0.219601,0.21722,0.215183,0.213499,0.212178,0.211232,0.210671,0.210505,0.210744,0.211399,0.212479,0.214864
15.01,0.488798,0.393088,0.384885,0.376814,0.36888,0.361088,0.353442,0.345949,0.338612,0.331438,0.324431,0.317599,0.310946,0.30448,0.298205,0.292129,0.286259,0.280601,0.275163,0.269951,0.264974,0.260239,0.255754,0.251528,0.247568,0.243883,0.240483,0.237375,0.234569,0.232074,0.2299,0.228055,0.22655,0.225393,0.224594,0.224162,0.224107,0.224437,0.22516,0.226285,0.228692
16.01,0.488791,0.396889,0.389026,0.381291,0.373692,0.366231,0.358915,0.351747,0.344734,0.33788,0.331191,0.324673,0.318331,0.312171,0.3062,0.300424,0.294848,0.289481,0.284328,0.279397,0.274695,0.270228,0.266006,0.262034,0.258322,0.254876,0.251706,0.248819,0.246224,0.243929,0.241942,0.240272,0.238927,0.237917,0.237248,0.236929,0.236968,0.237373,0.23815,0.239306,0.241718
17.01,0.488783,0.400536,0.392997,0.385586,0.378306,0.371163,0.364161,0.357306,0.350601,0.344054,0.337668,0.331449,0.325403,0.319536,0.313853,0.308361,0.303065,0.297973,0.29309,0.288423,0.28398,0.279766,0.275789,0.272056,0.268574,0.265351,0.262394,0.259712,0.25731,0.255198,0.253382,0.25187,0.25067,0.249789,0.249235,0.249014,0.249134,0.249599,0.250418,0.251595,0.253997
18,0.488776,0.404002,0.396772,0.389667,0.382691,0.375849,0.369146,0.362586,0.356174,0.349916,0.343816,0.33788,0.332113,0.326521,0.32111,0.315885,0.310852,0.306017,0.301386,0.296967,0.292764,0.288785,0.285036,0.281523,0.278255,0.275237,0.272476,0.26998,0.267755,0.265808,0.264146,0.262776,0.261705,0.260939,0.260484,0.260347,0.260534,0.261049,0.261898,0.263086,0.265467
19,0.488769,0.407366,0.400435,0.393627,0.386945,0.380395,0.37398,0.367705,0.361576,0.355597,0.349773,0.344109,0.338611,0.333284,0.328132,0.323163,0.318381,0.313793,0.309403,0.305218,0.301245,0.297488,0.293955,0.290652,0.287584,0.284758,0.282181,0.279859,0.277797,0.276004,0.274484,0.273243,0.272289,0.271626,0.27126,0.271196,0.27144,0.271995,0.272866,0.274057,0.276408
